"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"100.8.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 3 connection points " , "Terminal with saddle jumper, 3 connection points"
"100.8.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 3 connection points " , "N-terminal with saddle jumper, 3 connection points"
"100.8.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 3 connection points " , "PE terminal with rail contact, 3 connection points"
"100.8.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 3 connection points " , "SH terminal with saddle jumper, 3 connection points"
"100.9.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 4 connection points " , "Terminal, general, 4 connection points"
"100.9.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 4 connection points " , "Terminal, 4 connection points"
"100.9.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 4 connection points " , "N-terminal, 4 connection points"
"100.9.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 4 connection points " , "PE terminal, 4 connection points"
"100.9.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 4 connection points " , "SH terminal, 4 connection points"
"100.10.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 4 connection points " , "Terminal, general, with saddle jumper, 4 connection points"
"100.10.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 4 connection points " , "Terminal with saddle jumper, 4 connection points"
"100.10.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 4 connection points " , "N-terminal with saddle jumper, 4 connection points"
"100.10.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 4 connection points " , "PE terminal with rail contact, 4 connection points"
"100.10.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 4 connection points " , "SH terminal with saddle jumper, 4 connection points"
"100.11.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 6 connection points " , "Terminal, general, 6 connection points"
"100.11.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 6 connection points " , "Terminal, 6 connection points"
"100.11.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 6 connection points " , "N-terminal, 6 connection points"
"100.11.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 6 connection points " , "PE terminal, 6 connection points"
"100.11.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 6 connection points " , "SH terminal, 6 connection points"
"100.12.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 6 connection points " , "Terminal, general, with saddle jumper, 6 connection points"
"100.12.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 6 connection points " , "Terminal with saddle jumper, 6 connection points"
"100.12.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 6 connection points " , "N-terminal with saddle jumper, 6 connection points"
"100.12.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 6 connection points " , "PE terminal with rail contact, 6 connection points"
"100.12.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 6 connection points " , "SH terminal with saddle jumper, 6 connection points"
"100.13.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 8 connection points " , "Terminal, general, 8 connection points"
"100.13.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 8 connection points " , "Terminal, 8 connection points"
"100.13.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 8 connection points " , "N-terminal, 8 connection points"
"100.13.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 8 connection points " , "PE terminal, 8 connection points"
"100.13.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 8 connection points " , "SH terminal, 8 connection points"
"100.14.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 8 connection points " , "Terminal, general, with saddle jumper, 8 connection points"
"100.14.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 8 connection points " , "Terminal with saddle jumper, 8 connection points"
"100.14.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 8 connection points " , "N-terminal with saddle jumper, 8 connection points"
"100.14.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 8 connection points " , "PE terminal with rail contact, 8 connection points"
"100.14.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 8 connection points " , "SH terminal with saddle jumper, 8 connection points"
"100.15.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 5 connection points " , "Terminal, general, 5 connection points"
"100.15.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 5 connection points " , "Terminal, 5 connection points"
"100.15.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 5 connection points " , "N-terminal, 5 connection points"
"100.15.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 5 connection points " , "PE terminal, 5 connection points"
"100.15.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 5 connection points " , "SH terminal, 5 connection points"
"100.16.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 5 connection points " , "Terminal, general, with saddle jumper, 5 connection points"
"100.16.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 5 connection points " , "Terminal with saddle jumper, 5 connection points"
"100.16.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 5 connection points " , "N-terminal with saddle jumper, 5 connection points"
"100.16.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 5 connection points " , "PE terminal with rail contact, 5 connection points"
"100.16.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 5 connection points " , "SH terminal with saddle jumper, 5 connection points"
"100.17.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 7 connection points " , "Terminal, general, 7 connection points"
"100.17.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 7 connection points " , "Terminal, 7 connection points"
"100.17.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 7 connection points " , "N-terminal, 7 connection points"
"100.17.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 7 connection points " , "PE terminal, 7 connection points"
"100.17.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 7 connection points " , "SH terminal, 7 connection points"
"100.18.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 7 connection points " , "Terminal, general, with saddle jumper, 7 connection points"
"100.18.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 7 connection points " , "Terminal with saddle jumper, 7 connection points"
"100.18.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 7 connection points " , "N-terminal with saddle jumper, 7 connection points"
"100.18.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 7 connection points " , "PE terminal with rail contact, 7 connection points"
"100.18.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 7 connection points " , "SH terminal with saddle jumper, 7 connection points"
"100.19.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 9 connection points " , "Terminal, general, 9 connection points"
"100.19.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 9 connection points " , "Terminal, 9 connection points"
"100.19.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 9 connection points " , "N-terminal, 9 connection points"
"100.19.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 9 connection points " , "PE terminal, 9 connection points"
"100.19.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 9 connection points " , "SH terminal, 9 connection points"
"100.20.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 9 connection points " , "Terminal, general, with saddle jumper, 9 connection points"
"100.20.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 9 connection points " , "Terminal with saddle jumper, 9 connection points"
"100.20.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 9 connection points " , "N-terminal with saddle jumper, 9 connection points"
"100.20.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 9 connection points " , "PE terminal with rail contact, 9 connection points"
"100.20.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 9 connection points " , "SH terminal with saddle jumper, 9 connection points"
"100.98.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Graphic " , "Graphic"
"100.99.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, variable " , "Terminal, variable"
"100.99.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, variable " , "N-terminal, variable"
"100.99.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, variable " , "PE terminal, variable"
"100.99.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, variable " , "SH terminal, variable"
"101.2.0 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "Pin, general"
"101.2.1 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "Male and female pin"
"101.2.2 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "PE male and female pin"
"101.2.3 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "Terminal / plug-in adapter male and female pin"
"101.2.4 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "Male pin, 2 connection points"
"101.2.5 " , "Electrical engineering " , "Terminals and plugs " , "Pin " , "Pin, 2 connection points " , "Female pin, 2 connection points"
